================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۹_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 3521
================================================================================

[01:30:13.447 --> 01:30:21.142] patient_4
[01:30:14.358 --> 01:30:18.020] patient_1
[01:30:22.137 --> 01:30:23.318] patient_4
[01:30:24.010 --> 01:30:26.626] patient_1
[01:30:27.925 --> 01:30:29.258] patient_1
[01:30:31.857 --> 01:30:33.123] patient_4
[01:30:33.663 --> 01:30:45.037] patient_2
[01:30:33.899 --> 01:30:34.405] patient_4
[01:30:39.485 --> 01:30:39.907] patient_4
[01:30:45.222 --> 01:30:45.965] patient_2
[01:30:45.965 --> 01:30:46.589] patient_4
[01:30:46.589 --> 01:30:52.057] patient_2
[01:30:55.735 --> 01:30:57.575] patient_2
[01:31:00.646 --> 01:31:02.148] patient_4
[01:31:03.228 --> 01:31:04.443] patient_2
[01:31:08.678 --> 01:31:09.505] patient_4
[01:31:12.965 --> 01:31:13.505] patient_4
[01:31:16.880 --> 01:31:19.715] patient_3
[01:31:20.474 --> 01:31:23.056] patient_3
[01:31:24.490 --> 01:31:26.431] patient_3
[01:31:27.325 --> 01:31:28.726] patient_4
[01:31:29.080 --> 01:31:29.738] patient_4
