================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:27:03.978 --> 00:27:07.572] patient_2
[00:27:07.673 --> 00:27:14.052] patient_2
[00:27:07.724 --> 00:27:20.650] patient_4
[00:27:16.162 --> 00:27:18.828] patient_2
[00:27:21.950 --> 00:27:30.421] patient_2
[00:27:27.400 --> 00:27:30.134] patient_4
[00:27:31.130 --> 00:27:31.501] patient_4
[00:27:32.277 --> 00:27:35.517] patient_4
[00:27:35.517 --> 00:27:40.613] patient_2
[00:27:41.238 --> 00:27:58.771] patient_2
[00:27:43.027 --> 00:27:44.258] patient_4
[00:27:44.343 --> 00:27:44.950] patient_4
[00:27:45.507 --> 00:27:51.599] patient_4
[00:28:01.640 --> 00:28:06.685] patient_4
[00:28:01.657 --> 00:28:02.753] patient_2
[00:28:08.120 --> 00:28:13.030] patient_4
[00:28:09.082 --> 00:28:12.743] patient_2
[00:28:13.823 --> 00:28:16.844] patient_2
[00:28:17.283 --> 00:28:42.022] patient_3
[00:28:21.215 --> 00:28:22.160] patient_2
[00:28:22.160 --> 00:28:23.341] patient_4
[00:28:23.341 --> 00:28:25.298] patient_2
[00:28:27.155 --> 00:28:37.027] patient_2
[00:28:37.027 --> 00:28:42.038] doctor
[00:28:42.089 --> 00:28:42.983] doctor
[00:28:42.983 --> 00:28:47.978] patient_3
[00:28:43.034 --> 00:28:45.886] doctor
[00:28:45.886 --> 00:28:52.383] patient_2
[00:28:48.029 --> 00:28:48.974] patient_3
[00:28:49.025 --> 00:28:49.970] patient_3
[00:28:50.037 --> 00:28:50.965] patient_3
[00:28:50.965 --> 00:28:54.610] patient_4
[00:28:52.383 --> 00:28:52.973] patient_3
[00:28:53.260 --> 00:28:58.323] patient_3
[00:28:57.226 --> 00:29:01.023] patient_4
[00:28:59.808 --> 00:29:06.035] patient_3
[00:29:01.023 --> 00:29:02.170] patient_2
