================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۶_۱۸۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 4864
================================================================================

[00:44:28.040 --> 00:44:33.170] doctor
[00:44:30.723 --> 00:44:32.512] patient_1
[00:44:33.524 --> 00:44:33.980] doctor
[00:44:34.081 --> 00:44:38.165] doctor
[00:44:39.211 --> 00:44:39.616] doctor
[00:44:40.882 --> 00:44:41.793] doctor
[00:44:42.704 --> 00:44:43.615] doctor
[00:44:44.408 --> 00:44:52.272] doctor
[00:44:53.082 --> 00:44:55.208] doctor
[00:44:55.310 --> 00:44:56.508] doctor
[00:44:57.757 --> 00:44:59.225] doctor
[00:45:00.031 --> 00:45:01.837] doctor
[00:45:04.908 --> 00:45:11.067] doctor
[00:45:09.970 --> 00:45:11.320] patient_2
[00:45:12.637 --> 00:45:13.514] patient_2
[00:45:16.113 --> 00:45:19.538] doctor
[00:45:20.973 --> 00:45:24.382] doctor
[00:45:24.753 --> 00:45:26.491] doctor
[00:45:28.381 --> 00:45:28.870] doctor
[00:45:29.090 --> 00:45:31.148] patient_2
[00:45:31.098 --> 00:45:31.874] doctor
[00:45:32.566 --> 00:45:33.815] doctor
[00:45:34.287 --> 00:45:37.882] doctor
[00:45:38.185 --> 00:45:39.788] patient_2
[00:45:39.502 --> 00:45:40.649] doctor
[00:45:41.206 --> 00:45:42.033] doctor
[00:45:42.640 --> 00:45:44.243] patient_2
[00:45:44.665 --> 00:45:46.049] doctor
[00:45:46.471 --> 00:45:50.791] doctor
[00:45:51.297 --> 00:45:52.917] doctor
[00:45:53.221 --> 00:45:57.710] doctor
[00:45:58.081 --> 00:46:00.123] doctor
[00:46:01.372 --> 00:46:02.789] doctor
[00:46:04.342 --> 00:46:05.067] doctor
[00:46:06.603 --> 00:46:07.750] doctor
[00:46:08.543 --> 00:46:09.725] doctor
[00:46:10.197 --> 00:46:11.412] doctor
[00:46:12.222 --> 00:46:13.015] patient_2
[00:46:13.032 --> 00:46:13.876] patient_2
[00:46:13.302 --> 00:46:14.652] doctor
[00:46:14.872 --> 00:46:17.234] patient_2
[00:46:18.736 --> 00:46:20.153] doctor
[00:46:20.525 --> 00:46:24.322] doctor
[00:46:24.473 --> 00:46:26.988] doctor
[00:46:27.511 --> 00:46:28.237] patient_2
[00:46:28.237 --> 00:46:29.198] doctor
[00:46:28.270 --> 00:46:31.105] patient_2
[00:46:30.430 --> 00:46:36.185] doctor
[00:46:31.932 --> 00:46:32.388] patient_2
[00:46:35.358 --> 00:46:36.927] patient_2
[00:46:36.927 --> 00:46:38.851] doctor
[00:46:36.944 --> 00:46:37.450] patient_2
[00:46:39.593 --> 00:46:40.707] patient_2
[00:46:40.420 --> 00:46:46.023] doctor
[00:46:42.412 --> 00:46:43.627] patient_2
[00:46:46.208 --> 00:46:52.486] doctor
[00:46:54.275 --> 00:46:58.730] doctor
[00:46:59.270 --> 00:47:01.261] doctor
[00:47:01.750 --> 00:47:05.395] doctor
[00:47:06.712 --> 00:47:10.458] doctor
[00:47:08.686 --> 00:47:09.395] patient_1
[00:47:11.183 --> 00:47:12.061] patient_1
[00:47:18.457 --> 00:47:21.410] patient_2
[00:47:20.363 --> 00:47:20.971] doctor
[00:47:21.578 --> 00:47:22.220] doctor
[00:47:22.287 --> 00:47:22.962] doctor
[00:47:24.025 --> 00:47:24.700] patient_1
[00:47:24.852 --> 00:47:25.612] patient_1
[00:47:28.042 --> 00:47:30.033] patient_1
[00:47:30.573 --> 00:47:32.108] doctor
[00:47:32.969 --> 00:47:33.728] patient_1
[00:47:33.965 --> 00:47:35.703] patient_1
[00:47:35.821 --> 00:47:36.479] patient_1
[00:47:38.690 --> 00:47:39.888] patient_1
[00:47:38.774 --> 00:47:39.483] patient_2
[00:47:40.377 --> 00:47:49.439] patient_1
[00:47:40.546 --> 00:47:40.968] doctor
[00:47:42.655 --> 00:47:43.027] patient_2
[00:47:45.035 --> 00:47:49.692] doctor
[00:47:51.059 --> 00:47:54.417] doctor
[00:47:52.443 --> 00:47:53.084] patient_2
[00:47:54.029 --> 00:47:57.117] patient_2
[00:47:57.117 --> 00:47:59.480] doctor
[00:47:57.303 --> 00:47:57.792] patient_1
[00:48:01.336 --> 00:48:03.277] doctor
[00:48:03.412 --> 00:48:05.707] doctor
[00:48:03.614 --> 00:48:04.559] patient_2
[00:48:06.010 --> 00:48:08.930] doctor
[00:48:09.082 --> 00:48:11.039] patient_2
[00:48:11.123 --> 00:48:12.963] patient_2
[00:48:13.132 --> 00:48:16.658] doctor
[00:48:16.979 --> 00:48:19.595] doctor
[00:48:20.253 --> 00:48:27.172] doctor
[00:48:22.582 --> 00:48:22.936] patient_1
[00:48:27.847 --> 00:48:33.567] patient_1
[00:48:33.787 --> 00:48:35.187] doctor
[00:48:33.871 --> 00:48:34.310] patient_1
[00:48:35.187 --> 00:48:37.195] patient_1
[00:48:36.048 --> 00:48:40.874] doctor
[00:48:38.258 --> 00:48:38.680] patient_1
[00:48:39.659 --> 00:48:41.144] patient_1
[00:48:41.144 --> 00:48:47.388] patient_2
[00:48:47.489 --> 00:49:00.280] patient_2
[00:48:47.692 --> 00:48:48.485] patient_1
[00:48:49.885 --> 00:48:52.028] doctor
[00:48:52.248 --> 00:48:53.834] doctor
[00:48:53.952 --> 00:48:54.627] doctor
[00:48:55.960 --> 00:48:58.053] patient_1
[00:48:58.255 --> 00:49:02.052] patient_1
[00:49:02.390 --> 00:49:05.258] doctor
[00:49:03.503 --> 00:49:08.195] patient_1
[00:49:05.258 --> 00:49:06.440] patient_2
[00:49:07.503 --> 00:49:09.983] doctor
[00:49:10.692 --> 00:49:11.283] patient_2
[00:49:11.620 --> 00:49:20.969] patient_2
[00:49:14.692 --> 00:49:15.232] doctor
[00:49:17.257 --> 00:49:21.661] doctor
[00:49:20.969 --> 00:49:31.415] patient_1
[00:49:32.933 --> 00:49:39.262] patient_1
[00:49:39.481 --> 00:49:45.910] patient_1
[00:49:46.163 --> 00:49:47.395] doctor
[00:49:48.458 --> 00:49:50.467] patient_1
[00:49:58.972 --> 00:49:59.967] patient_2
[00:50:00.368 --> 00:50:00.892] patient_1
[00:50:00.892 --> 00:50:01.668] doctor
[00:50:01.938 --> 00:50:03.035] patient_1
[00:50:03.946 --> 00:50:07.152] doctor
[00:50:09.025 --> 00:50:10.645] doctor
[00:50:12.248 --> 00:51:03.667] patient_1
[00:50:15.573 --> 00:50:17.092] doctor
[00:50:19.403 --> 00:50:19.758] doctor
[00:50:19.792 --> 00:50:28.178] doctor
[00:50:29.343 --> 00:50:32.465] doctor
[00:50:33.258 --> 00:50:34.355] doctor
[00:50:36.667 --> 00:50:38.759] doctor
[00:50:39.755 --> 00:50:41.138] doctor
[00:50:45.307 --> 00:50:46.606] doctor
[00:50:47.298 --> 00:50:48.580] doctor
[00:50:49.492 --> 00:50:50.133] doctor
[00:50:51.500 --> 00:50:59.971] doctor
[00:51:01.355 --> 00:51:03.346] doctor
[00:51:03.734 --> 00:51:08.476] patient_1
[00:51:04.072 --> 00:51:05.084] doctor
[00:51:05.624 --> 00:51:06.130] doctor
[00:51:09.472 --> 00:51:10.282] patient_1
[00:51:12.003 --> 00:51:14.433] patient_1
[00:51:14.500 --> 00:51:15.074] patient_1
[00:51:15.361 --> 00:51:21.352] patient_1
[00:51:17.504 --> 00:51:18.871] doctor
[00:51:21.385 --> 00:51:26.836] patient_1
[00:51:22.955 --> 00:51:23.410] doctor
[00:51:26.971 --> 00:51:28.895] patient_1
[00:51:29.603 --> 00:51:34.750] patient_1
[00:51:35.712 --> 00:51:36.742] patient_1
[00:51:37.012 --> 00:51:38.665] patient_1
[00:51:41.281 --> 00:51:48.031] doctor
[00:51:48.031 --> 00:51:53.026] patient_1
[00:52:02.577 --> 00:52:06.610] doctor
[00:52:02.999 --> 00:52:03.539] patient_1
[00:52:06.931 --> 00:52:11.943] patient_1
[00:52:13.580 --> 00:52:22.743] patient_1
[00:52:17.039 --> 00:52:19.503] doctor
[00:52:22.844 --> 00:52:24.903] patient_1
