================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۲۰۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1205
================================================================================

[00:50:45.037 --> 00:50:45.644] patient_1
[00:50:48.682 --> 00:50:52.310] patient_1
[00:54:27.601 --> 00:54:39.599] patient_2
[00:54:40.510 --> 00:54:46.147] patient_2
[00:54:48.155 --> 00:54:49.572] patient_2
[00:54:50.534 --> 00:54:56.170] patient_2
[00:54:57.976 --> 00:54:59.765] patient_2
[00:55:00.723 --> 00:55:05.043] doctor
[00:55:06.005 --> 00:55:11.489] doctor
[00:55:12.502 --> 00:55:25.327] doctor
[00:55:27.807 --> 00:55:28.853] doctor
[00:55:30.018 --> 00:55:30.676] doctor
[00:55:32.228 --> 00:55:32.785] doctor
[00:55:34.878 --> 00:55:35.401] doctor
[00:55:43.417 --> 00:55:45.205] doctor
[00:55:46.319 --> 00:55:47.011] doctor
[00:55:48.513 --> 00:55:54.368] doctor
[00:55:56.765 --> 00:55:57.355] doctor
[00:56:00.494 --> 00:56:02.755] doctor
[00:56:08.965 --> 00:56:09.775] patient_1
[00:56:10.130 --> 00:56:10.855] doctor
[00:56:10.855 --> 00:56:15.023] patient_1
[00:56:17.538 --> 00:56:18.078] doctor
[00:56:19.512 --> 00:56:20.086] doctor
[00:57:28.447 --> 00:57:29.122] doctor
[00:57:31.450 --> 00:57:42.858] patient_1
[00:57:33.560 --> 00:57:34.184] doctor
[00:57:36.833 --> 00:57:37.694] doctor
[00:57:39.196 --> 00:57:40.495] doctor
[00:57:42.740 --> 00:57:44.191] doctor
[00:57:44.258 --> 00:57:48.410] patient_1
[00:57:50.148 --> 00:57:54.367] patient_1
[00:57:50.536 --> 00:57:51.430] doctor
[00:57:52.966 --> 00:57:53.692] doctor
[00:57:59.581 --> 00:58:01.657] patient_1
[00:58:02.163 --> 00:58:02.753] doctor
[00:59:29.255 --> 00:59:31.178] patient_1
[00:59:32.495 --> 00:59:33.068] patient_1
[00:59:34.537 --> 00:59:35.178] patient_1
[00:59:36.815 --> 00:59:37.422] patient_1
[00:59:41.320 --> 00:59:48.037] patient_1
[00:59:53.555 --> 00:59:54.297] patient_1
[00:59:55.698 --> 00:59:59.647] patient_1
[01:00:47.973 --> 01:00:49.070] patient_2
[01:00:49.441 --> 01:00:51.770] patient_2
[01:00:50.285 --> 01:00:51.314] doctor
[01:00:52.175 --> 01:00:54.031] patient_2
[01:00:54.267 --> 01:00:55.027] patient_2
[01:00:59.009 --> 01:00:59.414] patient_2
[01:00:59.971 --> 01:01:00.545] patient_2
[01:01:01.945 --> 01:01:03.110] patient_2
[01:01:03.447 --> 01:01:04.173] doctor
[01:01:04.190 --> 01:01:05.033] doctor
[01:01:05.540 --> 01:01:06.029] doctor
[01:01:23.393 --> 01:01:25.739] doctor
[01:02:39.280 --> 01:02:39.989] doctor
[01:02:47.026 --> 01:02:55.025] doctor
[01:02:52.797 --> 01:02:53.422] patient_2
[01:02:55.632 --> 01:02:58.332] doctor
[01:02:58.703 --> 01:03:03.395] patient_2
[01:03:02.888 --> 01:03:05.352] patient_1
[01:03:05.200 --> 01:03:10.381] patient_2
[01:03:10.718 --> 01:03:12.997] patient_1
[01:03:12.440 --> 01:03:29.180] patient_2
[01:03:14.465 --> 01:03:15.258] patient_1
[01:03:17.637 --> 01:03:18.734] patient_1
[01:03:21.417 --> 01:03:22.649] doctor
[01:03:28.775 --> 01:03:33.787] patient_1
[01:03:30.648 --> 01:03:31.762] patient_2
[01:03:33.483 --> 01:03:41.903] patient_2
[01:03:36.487 --> 01:03:39.203] patient_1
[01:03:39.203 --> 01:03:39.642] doctor
[01:03:41.566 --> 01:03:46.375] patient_1
[01:03:42.950 --> 01:03:43.304] patient_2
[01:03:44.654 --> 01:03:45.076] patient_2
[01:03:46.544 --> 01:03:52.923] patient_2
[01:03:48.012 --> 01:03:48.805] doctor
[01:03:50.408 --> 01:03:50.982] patient_1
[01:03:52.990 --> 01:03:56.382] patient_1
[01:03:56.635 --> 01:03:57.327] patient_2
[01:03:57.445 --> 01:04:06.980] patient_1
[01:04:07.148 --> 01:04:09.342] patient_2
[01:04:08.178 --> 01:04:08.549] doctor
[01:04:08.988 --> 01:04:12.582] patient_1
[01:04:12.093 --> 01:04:14.253] patient_2
[01:04:14.708 --> 01:04:17.375] patient_1
[01:04:16.126 --> 01:04:16.632] patient_2
[01:04:18.488 --> 01:04:20.362] patient_2
[01:04:20.581 --> 01:04:23.163] patient_1
[01:04:23.230 --> 01:04:27.871] patient_2
[01:04:24.985 --> 01:04:25.660] patient_1
[01:04:27.533 --> 01:04:29.423] doctor
[01:04:28.917 --> 01:04:31.432] patient_2
[01:04:30.908 --> 01:04:32.444] doctor
