================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۱۳۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1661
================================================================================

[01:49:20.935 --> 01:49:22.673] doctor
[01:49:23.416 --> 01:49:26.032] doctor
[01:49:26.420 --> 01:49:28.597] doctor
[01:49:28.934 --> 01:49:29.795] doctor
[01:49:32.005 --> 01:49:33.693] doctor
[01:49:33.119 --> 01:49:33.490] patient_1
[01:49:34.385 --> 01:49:40.493] doctor
[01:49:40.865 --> 01:49:44.307] doctor
[01:49:42.670 --> 01:49:43.480] patient_1
[01:49:47.564 --> 01:49:49.555] doctor
[01:49:51.597 --> 01:49:52.424] doctor
[01:49:52.728 --> 01:49:53.352] doctor
[01:49:53.403 --> 01:49:58.060] doctor
[01:49:53.808 --> 01:49:56.170] patient_1
[01:49:56.643 --> 01:49:58.060] patient_1
[01:50:00.031 --> 01:50:03.372] patient_1
[01:50:01.533 --> 01:50:02.107] doctor
[01:50:03.052 --> 01:50:23.082] doctor
[01:50:04.722 --> 01:50:05.178] patient_1
[01:50:06.764 --> 01:50:07.405] patient_1
[01:50:08.654 --> 01:50:09.903] patient_1
[01:50:12.670 --> 01:50:14.375] patient_1
[01:50:21.023 --> 01:50:22.222] patient_1
[01:50:23.082 --> 01:50:23.774] patient_1
[01:50:24.652 --> 01:50:25.715] doctor
[01:50:25.529 --> 01:50:26.980] patient_1
[01:50:26.677 --> 01:50:27.487] doctor
[01:50:27.487 --> 01:50:28.550] patient_1
[01:50:28.364 --> 01:50:29.005] doctor
[01:50:29.377 --> 01:50:30.912] patient_1
[01:50:31.823 --> 01:50:32.785] patient_1
[01:50:33.089 --> 01:50:33.646] patient_1
[01:50:35.148 --> 01:50:36.228] patient_1
[01:50:36.228 --> 01:50:36.683] doctor
[01:50:36.683 --> 01:50:38.287] patient_1
[01:50:38.287 --> 01:50:38.810] doctor
[01:50:38.810 --> 01:50:40.919] patient_1
[01:50:41.122 --> 01:50:43.619] doctor
[01:50:41.408 --> 01:50:42.235] patient_1
[01:50:43.552 --> 01:50:44.024] patient_1
[01:50:44.024 --> 01:50:46.049] doctor
[01:50:44.530 --> 01:50:45.070] patient_1
[01:50:46.471 --> 01:50:47.686] patient_1
[01:50:47.753 --> 01:50:48.226] doctor
[01:50:48.935 --> 01:50:51.702] doctor
[01:50:55.398 --> 01:50:56.073] patient_1
[01:50:56.663 --> 01:50:57.878] doctor
[01:50:58.402 --> 01:51:00.477] doctor
[01:51:00.680 --> 01:51:01.996] doctor
[01:51:01.928 --> 01:51:02.570] patient_1
[01:51:04.105 --> 01:51:05.911] doctor
[01:51:06.130 --> 01:51:06.637] patient_1
[01:51:10.315 --> 01:51:10.872] doctor
[01:51:11.345 --> 01:51:16.525] doctor
[01:51:12.509 --> 01:51:13.167] patient_1
[01:51:16.323 --> 01:51:25.250] patient_1
[01:51:18.466 --> 01:51:18.888] doctor
[01:51:23.073 --> 01:51:24.068] doctor
[01:51:28.439 --> 01:51:29.806] doctor
[01:51:29.975 --> 01:51:30.650] doctor
[01:51:31.696 --> 01:51:32.607] doctor
[01:51:37.653 --> 01:51:40.792] doctor
[01:51:39.037 --> 01:51:43.981] patient_1
[01:51:41.602 --> 01:51:47.879] doctor
[01:51:46.630 --> 01:51:51.305] patient_1
[01:51:50.647 --> 01:51:54.123] doctor
[01:51:52.250 --> 01:51:52.638] patient_1
[01:51:52.739 --> 01:51:53.819] patient_1
[01:51:54.123 --> 01:51:57.413] patient_1
[01:51:56.789 --> 01:51:57.397] doctor
[01:51:57.413 --> 01:51:59.033] doctor
[01:51:59.877 --> 01:52:01.227] patient_1
[01:52:01.227 --> 01:52:02.240] doctor
[01:52:02.223 --> 01:52:03.657] patient_1
[01:52:04.400 --> 01:52:06.948] patient_1
[01:52:07.184 --> 01:52:16.837] doctor
[01:52:10.610 --> 01:52:11.048] patient_1
[01:52:15.048 --> 01:52:15.419] patient_1
[01:52:16.634 --> 01:52:18.203] patient_1
[01:52:18.305 --> 01:52:18.777] doctor
[01:52:19.081 --> 01:52:20.026] doctor
[01:52:19.132 --> 01:52:19.722] patient_1
