================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1241
================================================================================

[01:45:24.010 --> 01:45:26.170] patient_2
[01:45:27.217 --> 01:45:33.865] patient_2
[01:45:34.490 --> 01:45:34.895] doctor
[01:45:34.895 --> 01:45:35.924] patient_2
[01:45:35.097 --> 01:45:37.460] doctor
[01:45:37.207 --> 01:45:41.003] patient_2
[01:45:39.923 --> 01:45:40.902] doctor
[01:45:41.307 --> 01:45:48.665] patient_2
[01:45:49.205 --> 01:45:49.711] patient_2
[01:45:49.238 --> 01:45:54.706] doctor
[01:45:51.280 --> 01:46:02.215] patient_2
[01:45:55.465 --> 01:45:59.110] doctor
[01:46:02.030 --> 01:46:06.232] doctor
[01:46:03.582 --> 01:46:05.489] patient_2
[01:46:15.682 --> 01:46:17.420] patient_2
[01:46:17.690 --> 01:46:19.867] patient_2
[01:46:19.040 --> 01:46:21.233] doctor
[01:46:22.634 --> 01:46:23.343] doctor
[01:46:24.254 --> 01:46:24.777] patient_2
[01:46:25.520 --> 01:46:26.212] doctor
[01:46:27.443 --> 01:46:29.873] patient_2
[01:46:27.578 --> 01:46:28.675] doctor
[01:46:30.025 --> 01:46:32.118] doctor
[01:46:31.460 --> 01:46:32.540] patient_2
[01:46:32.894 --> 01:46:34.463] doctor
[01:46:34.008 --> 01:46:37.062] patient_2
[01:46:35.577 --> 01:46:40.285] doctor
[01:46:37.872 --> 01:46:38.513] patient_2
[01:46:38.783 --> 01:46:39.155] patient_2
[01:46:40.741 --> 01:46:49.145] patient_2
[01:46:40.876 --> 01:46:41.804] doctor
[01:46:42.547 --> 01:46:43.390] doctor
[01:46:45.128 --> 01:46:46.073] doctor
[01:46:49.347 --> 01:46:54.123] patient_2
[01:47:10.070 --> 01:47:17.579] patient_2
[01:47:18.085 --> 01:47:18.946] patient_1
[01:47:18.946 --> 01:47:27.181] patient_2
[01:47:21.781 --> 01:47:22.962] patient_1
[01:47:24.869 --> 01:47:25.274] patient_1
[01:47:28.784 --> 01:47:30.708] patient_1
[01:47:30.607 --> 01:47:32.092] patient_2
[01:47:32.125 --> 01:47:33.408] patient_2
[01:47:33.425 --> 01:47:34.792] patient_1
[01:47:34.792 --> 01:47:41.710] patient_2
[01:47:43.988 --> 01:47:46.672] patient_2
[01:47:46.958 --> 01:48:03.800] patient_2
[01:48:04.593 --> 01:48:06.044] patient_2
[01:49:15.316 --> 01:49:16.784] patient_1
[01:49:17.763 --> 01:49:27.601] patient_1
[01:49:31.668 --> 01:49:37.473] patient_1
[01:49:32.528 --> 01:49:33.929] doctor
[01:49:38.165 --> 01:49:39.430] patient_1
[01:49:39.599 --> 01:49:40.814] patient_1
[01:49:41.000 --> 01:49:42.637] patient_1
[01:49:42.721 --> 01:49:44.105] patient_1
[01:49:44.965 --> 01:49:47.024] patient_1
[01:49:47.277 --> 01:49:48.087] patient_1
[01:49:49.218 --> 01:49:53.791] doctor
[01:49:51.412 --> 01:49:58.972] patient_1
[01:49:54.128 --> 01:49:54.719] doctor
[01:49:55.580 --> 01:49:59.967] doctor
[01:49:58.972 --> 01:49:59.967] patient_2
[01:50:00.031 --> 01:50:02.410] patient_1
[01:50:00.031 --> 01:50:02.630] doctor
[01:50:02.630 --> 01:50:06.342] patient_1
[01:50:11.337 --> 01:50:12.029] patient_1
[01:50:39.535 --> 01:50:40.733] patient_3
[01:50:44.108 --> 01:50:47.247] patient_3
[01:50:47.872 --> 01:50:48.378] doctor
[01:50:47.905 --> 01:50:48.968] patient_3
[01:50:48.968 --> 01:50:49.424] doctor
[01:50:50.065 --> 01:50:50.555] patient_3
[01:50:50.555 --> 01:50:51.280] doctor
[01:50:51.483 --> 01:50:52.563] patient_3
[01:50:51.837 --> 01:50:52.681] doctor
[01:50:52.917 --> 01:50:54.790] patient_3
[01:50:53.879 --> 01:50:56.377] doctor
[01:50:56.410 --> 01:50:57.828] patient_3
[01:50:57.676 --> 01:50:58.098] doctor
[01:50:58.503 --> 01:51:00.258] patient_3
[01:51:08.510 --> 01:51:09.758] patient_2
[01:51:11.952 --> 01:51:12.863] patient_2
[01:51:13.420 --> 01:51:14.585] doctor
[01:51:14.838 --> 01:51:16.964] doctor
[01:51:16.964 --> 01:51:18.314] patient_2
[01:51:18.415 --> 01:51:20.609] patient_2
[01:51:22.246 --> 01:51:24.153] doctor
[01:51:24.693 --> 01:51:25.638] patient_2
[01:51:25.975 --> 01:51:26.515] doctor
[01:51:27.106 --> 01:51:29.283] doctor
[01:51:57.093 --> 01:51:57.869] patient_1
[01:52:01.953 --> 01:52:03.100] doctor
[01:52:08.821 --> 01:52:10.390] patient_1
[01:52:10.829 --> 01:52:14.812] patient_1
[01:52:14.997 --> 01:52:16.634] patient_1
[01:52:24.886 --> 01:52:26.135] patient_3
[01:52:26.658 --> 01:52:27.957] doctor
[01:52:27.856 --> 01:52:28.818] patient_3
[01:52:29.223 --> 01:52:30.117] patient_3
[01:52:30.235 --> 01:52:31.130] patient_3
[01:52:31.383 --> 01:52:34.066] doctor
[01:52:34.066 --> 01:52:34.690] patient_3
[01:52:34.690 --> 01:52:35.669] doctor
[01:52:35.450 --> 01:52:36.952] patient_3
[01:52:37.070 --> 01:52:39.112] doctor
[01:52:38.588 --> 01:52:40.748] patient_3
[01:52:40.748 --> 01:52:41.727] doctor
[01:52:41.862 --> 01:52:42.790] patient_3
[01:52:42.487 --> 01:52:44.984] doctor
[01:52:45.963 --> 01:52:48.123] patient_3
[01:52:48.578 --> 01:52:50.401] doctor
[01:52:52.797 --> 01:52:54.957] doctor
[01:52:54.704 --> 01:53:00.779] patient_2
[01:53:06.466 --> 01:53:07.445] patient_2
[01:55:02.393 --> 01:55:06.342] patient_2
[01:55:07.422 --> 01:55:09.312] patient_2
[01:55:09.397 --> 01:55:10.409] patient_2
[01:55:10.510 --> 01:55:11.303] patient_2
[01:56:27.106 --> 01:56:29.603] doctor
[01:56:30.127 --> 01:56:36.218] doctor
[01:56:36.353 --> 01:56:38.581] doctor
[01:56:38.851 --> 01:56:40.690] doctor
[01:56:41.129 --> 01:56:41.922] doctor
[01:56:42.158 --> 01:56:54.038] doctor
[01:57:07.100 --> 01:57:10.272] patient_2
[01:57:11.048 --> 01:57:13.917] patient_2
[01:57:14.305 --> 01:57:15.082] patient_2
[01:57:16.347 --> 01:57:19.030] patient_2
[01:57:19.688 --> 01:57:20.566] patient_2
[01:57:22.135 --> 01:57:28.649] patient_2
[01:57:28.953 --> 01:57:37.508] patient_2
[01:57:37.525 --> 01:57:41.035] patient_2
[01:57:41.423 --> 01:57:42.790] patient_2
[01:57:43.330 --> 01:57:46.233] patient_2
[01:57:46.975 --> 01:57:49.439] patient_2
[01:57:49.574 --> 01:57:54.198] patient_2
[01:58:09.115 --> 01:58:26.952] patient_1
[01:58:27.188 --> 01:58:29.888] patient_1
[01:58:28.403 --> 01:58:29.399] doctor
[01:58:30.091 --> 01:58:33.500] doctor
[01:58:34.512 --> 01:58:34.968] patient_1
[01:58:34.968 --> 01:58:36.689] doctor
[02:00:01.550 --> 02:00:14.982] doctor
[02:00:15.337 --> 02:00:38.219] doctor
[02:00:38.354 --> 02:00:39.029] doctor
[02:01:10.602 --> 02:01:11.108] patient_1
[02:01:12.087 --> 02:01:13.032] patient_1
[02:01:15.935 --> 02:01:17.167] patient_1
[02:01:21.149 --> 02:01:27.528] patient_1
[02:01:27.848 --> 02:01:32.033] patient_1
[02:01:47.660 --> 02:01:48.503] patient_1
[02:01:52.992 --> 02:01:54.882] patient_1
[02:02:02.476 --> 02:02:03.033] patient_1
[02:02:12.348 --> 02:02:16.043] patient_1
[02:02:17.377 --> 02:02:17.967] doctor
[02:02:18.946 --> 02:02:20.549] doctor
[02:02:21.545 --> 02:02:22.321] doctor
[02:02:22.692 --> 02:02:25.038] doctor
[02:02:35.669 --> 02:02:36.074] doctor
[02:02:36.074 --> 02:02:38.825] patient_1
[02:02:39.010 --> 02:02:41.407] patient_1
[02:02:41.407 --> 02:02:44.917] doctor
[02:02:44.849 --> 02:02:49.118] patient_1
[02:02:49.456 --> 02:03:00.509] patient_1
[02:03:00.796 --> 02:03:11.933] patient_1
[02:03:14.617 --> 02:03:15.899] patient_1
[02:03:16.321 --> 02:03:16.793] patient_1
[02:03:16.962 --> 02:03:21.552] doctor
[02:03:21.856 --> 02:03:29.686] doctor
[02:03:52.113 --> 02:03:53.378] doctor
[02:03:53.513 --> 02:03:56.686] doctor
[02:03:57.479 --> 02:04:01.816] doctor
[02:04:02.693 --> 02:04:04.516] doctor
[02:04:05.123 --> 02:04:05.748] doctor
[02:04:06.153 --> 02:04:07.317] doctor
[02:04:07.452 --> 02:04:08.093] doctor
[02:04:16.025 --> 02:04:17.273] doctor
[02:04:24.260 --> 02:04:26.791] doctor
[02:04:28.124 --> 02:04:29.828] doctor
[02:04:32.258 --> 02:04:33.777] doctor
[02:04:34.165 --> 02:04:36.005] doctor
[02:04:39.734 --> 02:04:41.185] doctor
[02:04:41.320 --> 02:04:42.029] doctor
[02:04:42.620 --> 02:04:43.953] doctor
[02:04:44.459 --> 02:04:44.813] doctor
[02:04:46.298 --> 02:04:49.032] doctor
[02:05:00.402 --> 02:05:01.887] patient_1
[02:05:02.360 --> 02:05:03.862] patient_1
[02:05:04.418 --> 02:05:07.507] patient_1
[02:05:17.783 --> 02:05:18.323] patient_1
[02:05:26.558 --> 02:05:27.031] doctor
[02:05:30.068 --> 02:05:31.469] doctor
[02:05:32.262 --> 02:05:32.735] doctor
[02:05:33.106 --> 02:05:35.350] patient_1
[02:05:35.553 --> 02:05:36.717] patient_1
[02:05:36.818 --> 02:05:37.696] patient_1
[02:05:38.371 --> 02:05:39.282] patient_1
[02:05:56.393 --> 02:05:57.170] patient_1
[02:05:58.300 --> 02:06:00.342] doctor
[02:06:02.384 --> 02:06:02.907] doctor
[02:06:16.660 --> 02:06:17.521] patient_1
[02:06:18.213 --> 02:06:19.597] patient_1
[02:06:24.625 --> 02:06:26.262] patient_1
[02:06:27.410 --> 02:06:28.338] patient_1
[02:06:29.587 --> 02:06:31.983] patient_1
[02:06:32.557 --> 02:06:32.978] doctor
[02:06:33.434 --> 02:06:34.345] doctor
[02:06:34.649 --> 02:06:36.995] patient_1
[02:06:52.435 --> 02:06:54.038] doctor
[02:07:00.974 --> 02:07:13.732] doctor
[02:07:13.748 --> 02:07:19.148] doctor
[02:07:30.505 --> 02:07:30.944] doctor
[02:07:30.978 --> 02:07:46.250] doctor
[02:07:46.469 --> 02:07:51.211] doctor
[02:07:52.679 --> 02:07:59.918] doctor
[02:08:00.087 --> 02:08:01.420] doctor
[02:08:02.348 --> 02:08:04.120] doctor
[02:08:04.238 --> 02:08:04.627] doctor
[02:08:05.808 --> 02:08:10.904] doctor
[02:08:11.360 --> 02:08:15.038] doctor
